id,year,quantity
2382,2003,22
2384,2013,4
2385,2012,2
2386,1979,51
2387,2013,27
2388,2014,116
2390,2009,28
2391,1978,412
2392,2002,44
2393,2013,36
2395,1995,2
2397,1988,98
2398,1997,34
2399,2017,148
2401,2015,148
2403,2015,3
2405,2011,368
2406,2010,43
2407,2013,14
2409,1977,277
2411,2009,110
2412,2012,45
2414,1985,293
2416,2008,32
2417,1996,112
2418,2006,1
2420,2001,26
2421,1996,640
2422,2002,47
2423,1999,1
2426,2010,30
2428,2016,2
2429,2000,7
2430,2004,904
2431,2011,2
2432,1996,47
2434,1986,111
2436,2016,1057
2439,2009,38
2442,2000,644
2443,2014,42
2444,1994,24
2447,2012,4
2449,2009,1129
2450,1987,2
2454,1996,2
2455,1972,151
2460,1999,727
2461,2003,4
2462,1984,34
2464,1995,9
2466,2012,5
2467,2014,207
2469,2006,165
2470,2007,27
2471,2013,48
2472,1977,107
2475,2001,1
2478,2015,108
2479,2014,47
2482,2015,26
2483,1987,42
2484,1998,21
2485,1991,403
2486,2011,58
2487,1994,29
2490,1996,183
2491,1984,76
2492,1999,37
2493,2000,19
2494,2014,96
2495,2003,50
2499,2010,143
2500,2000,33
2501,2005,42
2502,1978,17
2504,2002,28
2507,1994,212
2508,2002,358
2509,1966,20
2512,1996,10
2515,1985,20
2516,2005,35
2517,2011,53
2518,2001,29
2520,1999,137
2521,2009,51
2523,1994,30
2525,2012,77
2526,2003,45
2527,2012,630
2530,1994,18
2531,2010,3
2535,2015,713
2536,1990,402
2539,2015,83
2540,2011,775
2542,1989,351
2543,1976,131
2546,1981,82
2548,1994,45
2549,1986,52
2550,2011,2
2551,2005,33
2553,2002,25
2554,1994,44
2563,2003,202
2564,2001,8
2565,2011,186
2566,1984,85
2567,1979,2
2569,2015,186
2571,2016,353
2572,1972,58
2573,2011,509
2574,2012,208
2575,2017,79
2576,2003,80
2578,2015,2
2579,1996,87
2580,2001,28
2581,1999,33
2584,2014,274
2586,2014,1899
2588,1983,3
2590,1957,69
2592,2003,100
2594,2015,264
2596,2000,61
2597,2016,753
2598,2005,48
2599,2015,87
2602,2001,41
2603,1991,36
2604,2004,52
2606,2002,41
2607,2016,84
2608,1989,70
2610,2009,149
2611,2008,148
2612,2007,59
2613,2015,162
2615,2011,2
2617,2005,418
2618,2009,788
2619,1980,146
2620,2008,61
2621,2012,150
2624,1997,21
2626,2016,518
2627,2011,242
2628,1987,28
2629,2013,9
2630,1994,57
2632,1996,822
2635,2000,92
2638,1974,23
2639,1986,67
2641,2010,26
2642,2002,466
2644,2014,2
2646,1992,532
2647,2015,16
2649,2010,15
2650,1968,407
2651,2012,84
2654,1991,1061
2656,2016,89
2657,1995,400
2658,2014,609
2665,1994,582
2666,2002,7
2668,2010,4
2669,2013,394
2670,2012,21
2672,2016,776
2673,1969,6
2676,2013,2
2678,2012,30
2681,2015,89
2683,2016,317
2684,2002,27
2685,2002,3
2687,1986,42
2688,2006,132
2691,2014,2
2692,1989,185
2693,2008,30
2694,1985,213
2695,2006,87
2696,2012,742
2698,2011,1
2699,2002,50
2700,2016,5
2703,2015,370
2704,2015,476
2705,2009,1
2706,1986,5
2709,2012,256
2710,2008,50
2711,2009,107
2712,2013,3
2713,1999,63
2715,1995,18
2717,2007,233
2718,2003,37
2719,2001,192
2722,2007,9
2724,1987,6
2726,1999,35
2727,2002,78
2729,2010,1
2730,2003,183
2733,1981,176
2737,2012,4
2740,2015,276
2743,1982,27
2745,2014,252
2748,2013,42
2751,2002,112
2752,2014,105
2754,2001,68
2757,1990,26
2759,1989,35
2760,1997,11
2762,2014,506
2763,2015,72
2764,2016,23
2765,2016,58
2766,1986,83
2767,2011,9
2768,2016,3
2770,2008,203
2771,1977,166
2772,2015,69
2774,2007,7
2777,2015,39
2778,1987,24
2779,1985,63
2781,1997,64
2782,2002,24
2784,1988,46
2785,1997,7
2786,2013,49
2788,1987,19
2789,1994,88
2790,1995,18
2791,1995,646
2792,2009,166
2793,2003,1
2794,1971,87
2796,2013,3011
2798,2016,27
2800,2012,253
2801,2013,33
2802,2015,387
2803,2002,170
2805,1980,34
2808,2009,200
2809,2002,2
2811,2013,51
2812,2013,99
2813,2013,654
2814,2001,1
2819,1956,10
2821,2002,40
2822,2008,81
2824,1989,44
2825,1997,320
2826,2015,301
2827,2009,259
2828,2012,17
2829,2015,6
2834,1985,4
2839,1990,567
2841,2016,3
2843,1999,15
2845,2004,32
2846,1993,12
2847,2006,117
2848,1961,13
2851,2009,4
2852,2011,7
2853,2007,108
2854,2001,80
2855,2012,80
2856,2000,142
2857,1998,104
2859,2016,61
2860,2001,295
2861,2016,94
2863,2005,37
2864,2017,52
2865,1987,54
2866,2009,23
2867,2008,53
2868,2003,341
2870,2016,6
2871,1990,24
2872,1998,125
2873,2015,264
2874,2002,100
2875,1987,26
2876,1999,12
2879,1968,8
2881,2000,19
2882,2003,171
2883,2012,228
2884,2016,1615
2885,1962,82
2886,2012,140
2887,1988,63
2888,2016,40
2889,2013,90
2890,2001,103
2896,2001,8
2899,1998,376
2900,1991,3
2901,2002,56
2902,1987,62
2903,1966,9
2904,2015,1
2905,2002,197
2909,2013,41
2910,2000,50
2911,2016,454
2913,2015,365
2917,2002,276
2918,1994,1186
2919,1966,15
2921,2013,3
2922,1981,185
2925,2011,146
2926,1981,398
2928,1978,42
2929,2006,647
2931,2002,200
2932,2006,812
2933,2004,500
2934,2003,42
2935,2001,458
2936,2012,41
2937,2001,10
2938,2009,786
2939,1977,64
2940,2009,66
2941,1977,8
2947,2013,7
2950,1978,183
2952,2012,3
2953,2003,34
2954,2013,200
2955,1988,195
2956,2001,25
2957,2002,153
2959,1999,709
2962,1968,256
2963,2005,273
2965,2013,23
2966,1990,109
2967,1972,20
2969,1982,4
2970,2004,70
2972,2016,465
2973,2016,10
2976,2005,13
2978,1969,52
2979,2009,386
2981,2004,71
2982,1974,31
2984,2014,72
2985,2012,1
2986,1976,58
2987,2009,11
2990,2008,279
2991,2016,28
2995,2002,17
2996,2010,674
2998,2014,433
2999,1958,14
3001,2001,26
3005,1999,39
3006,2011,50
3007,2007,1804
3008,1986,10
3010,2014,920
3011,2013,230
3012,1998,18
3014,1984,104
3016,2003,110
3017,2015,61
3018,2014,142
