year,set_num,id,version
2017,10849-1,17958,1
2017,10850-1,19498,1
2017,10851-1,19632,1
2017,10852-1,17752,1
2017,10853-1,25056,1
2017,10854-1,23176,1
2017,10855-1,19739,1
2017,10856-1,21093,1
2017,10857-1,24868,1
2018,10858-1,21605,1
2018,10859-1,21606,1
2018,10860-1,21607,1
2000,1086-1,26996,1
2018,10861-1,21608,1
2018,10862-1,21609,1
2018,10863-1,21610,1
2018,10864-1,21611,1
2018,10865-1,21612,1
2018,10867-1,21613,1
2018,10868-1,21614,1
2018,10869-1,24621,1
2018,10870-1,23178,1
2018,10871-1,21615,1
2018,10872-1,25481,1
2018,10873-1,25209,1
2018,10874-1,25482,1
2018,10875-1,27157,2
2018,10876-1,21616,1
2018,10877-1,21617,1
2018,10878-1,21618,1
2018,10879-1,24623,1
2018,10880-1,24624,1
1999,1088-1,14774,1
2018,10881-1,25208,1
2018,10882-1,25483,1
2019,10883-1,31172,1
2019,10884-1,31269,1
2019,10885-1,30211,1
2019,10886-1,30212,1
2019,10887-1,31270,1
2019,10889-1,35123,1
1985,1089-1,216,1
2019,10893-1,30435,1
2019,10894-1,32529,1
2019,10895-1,30043,1
2019,10897-1,30436,1
2019,10898-1,30673,1
2019,10899-1,37859,1
2019,10900-1,31271,1
1986,1090-1,15156,1
2019,10901-1,31272,1
2019,10902-1,30213,1
2019,10903-1,30214,1
2019,10904-1,35124,1
2019,10906-1,35125,1
2019,10907-1,35126,1
2019,10908-1,31273,1
2020,10909-1,43351,1
2019,10910-1,35127,1
2020,10913-1,42591,1
2020,10914-1,42592,1
2020,10915-1,42593,1
2020,10917-1,42594,1
2020,10918-1,42595,1
2020,10919-1,56523,1
2020,10920-1,42596,1
1986,1092-1,1902,1
2020,10921-1,42597,1
2020,10922-1,60838,1
2020,10924-1,56525,1
2020,10925-1,42598,1
2020,10926-1,42599,1
2020,10927-1,42600,1
2020,10928-1,42601,1
2020,10929-1,42602,1
2020,10930-1,56526,1
2020,10931-1,56527,1
2020,10932-1,56528,1
2020,10933-1,60667,1
2020,10934-1,45470,1
2012,10937-1,3227,1
2021,10939-1,100257,1
2021,10940-1,100274,1
1999,1094-1,8023,1
2021,10941-1,80334,1
2021,10942-1,102570,1
2021,10943-1,78562,1
2021,10944-1,95914,1
2021,10945-1,100316,1
2021,10946-1,100261,1
2021,10947-1,100276,1
2021,10948-1,100307,1
2021,10949-1,84984,1
2021,10950-1,84986,1
1999,1095-1,11431,1
2021,10951-1,86354,1
2021,10952-1,84978,1
2021,10953-1,81203,1
2021,10954-1,100308,1
2021,10955-1,80364,1
2021,10956-1,100256,1
2021,10957-1,81204,1
2021,10958-1,81546,1
2022,10960-1,118894,1
1999,1096-1,3710,1
2021,10961-1,102572,1
2022,10964-1,118916,1
2022,10965-1,118893,1
2022,10966-1,118874,1
1999,1097-1,7057,1
2022,10978-1,118876,1
1998,1098-1,6900,1
1999,1099-1,15617,1
1982,1-1,38435,1
1971,1-10,2794,1
2001,1100-1,8069,1
2019,11001-1,30437,1
2019,11002-1,30438,1
2019,11003-1,30439,1
2019,11004-1,35280,1
2019,11005-1,31169,1
2020,11006-1,42959,1
2020,11006-1,120946,2
2020,11007-1,42960,1
2020,11008-1,42961,1
2020,11008-1,106068,2
2020,11009-1,43389,1
1977,110-1,13693,1
2020,11010-1,42735,1
1977,1101-1,10870,1
2020,11011-1,45427,1
2021,11012-1,87845,1
2021,11013-1,81553,1
2021,11014-1,87827,1
2021,11014-1,118830,2
2021,11015-1,100763,1
2021,11016-1,81552,1
1977,1102-1,792,1
1977,1103-1,11603,1
2008,1103-2,10401,1
1977,1104-1,15150,1
1977,1105-1,2379,1
1977,1106-1,12515,1
1999,1106-2,14067,1
1977,1107-1,8372,1
1977,1108-1,12901,1
1977,1109-1,6389,1
1981,1-11,3289,1
1977,1110-1,16022,1
1977,111-1,6879,1
1977,1111-1,2941,1
1966,111-2,14675,1
1977,1112-1,15427,1
1977,1113-1,4162,1
2008,11138-1,92729,1
1977,1114-1,10776,1
